datetime,action,ticker,shares,price,gain,gain_pct
2026-04-19 20:00,BUY,JPM,161,310.29,0,0.00
2026-04-22 13:25,BUY,NVDA,422,118.25,0,0.00
2026-04-23 00:16,BUY,4519.T,10,4980.33,0,0.00
2026-04-23 13:15,BUY,GOOGL,277,179.94,0,0.00
2026-04-24 00:24,BUY,8306.T,26,1852.45,0,0.00
2026-04-24 13:31,BUY,MSFT,123,405.23,0,0.00
2026-04-29 13:17,BUY,META,89,558.53,0,0.00
2026-04-30 00:08,BUY,7203.T,14,3398.25,0,0.00
2026-04-30 13:17,BUY,AAPL,254,196.29,0,0.00
2026-05-01 00:01,BUY,4063.T,8,5669.78,0,0.00
2026-05-01 13:12,BUY,AMZN,240,207.77,0,0.00
